text,label
The silence is deafening and lonely. Can't believe it.,sadness
This news honestly scares me. Can't believe it.,fear
Didn't expect to run into you here! Bro....,surprise
You've got to be kidding me!,surprise
It's hard to find the motivation to get out of bed. Bro....,sadness
I'M DREADING THE OUTCOME OF THIS MEETING.,fear
I can't believe my eyes!,surprise
I was NOT expecting that response. For real.,surprise
So worried and anxious right now.,fear
What a gross thing to say online.,disgust
THIS GRIEF IS UNBEARABLE.,sadness
How dare they charge us for this garbage?,anger
Can't believe they would do something so stupid. No way.,anger
Absolutely ridiculous behavior from this company. No way.,anger
I feel so completely heartbroken and lost.,sadness
I can't believe my eyes!,surprise
This horror movie is giving me nightmares.,fear
THIS NEWS HONESTLY SCARES ME.,fear
Absolutely overjoyed and smiling from ear to ear.!!!,joy
Loving every second of this beautiful morning. No way.,joy
I need to buy some new shoes. For real.,neutral
Give me a refund right now! No way.,anger
"I'm panicking, I don't know what to do.",fear
"PLEASE HELP, I'M GENUINELY SCARED. CAN'T BELIEVE IT.",fear
Didn't expect to run into you here! Can't believe it.,surprise
"Whoa, that was completely unexpected.",surprise
"Eww, this is absolutely repulsive. Wow.",disgust
"My heart is racing, I'm so nervous. Honestly.",fear
Everything I love seems to slip away. Bro.,sadness
MIND BLOWN. SIMPLY INCREDIBLE. SERIOUSLY.,surprise
Can't believe they would do something so stupid. Can't believe it.,anger
This makes my blood boil. Honestly.,anger
The train arrived exactly on time. For real.,neutral
So worried and anxious right now. No way.,fear
LOVING EVERY SECOND OF THIS BEAUTIFUL MORNING.,joy
Just checking my emails. Can't believe it.!!!,neutral
I can't believe people find this appealing. Bro.!!,disgust
I need to buy some new shoes. No way.,neutral
Wow! I did not see that coming at all! Bro.,surprise
I'M ON CLOUD NINE! SERIOUSLY.,joy
I'm just tired of feeling this way.,sadness
I was NOT expecting that response.,surprise
Feeling incredibly depressed and lonely tonight. Can't believe it.,sadness
Stop ignoring the community's complaints! No way.,anger
This is a dream come true. Just saying.!!,joy
I can't believe people find this appealing.,disgust
This is pure bliss. For real.,joy
"TOTAL PLOT TWIST, I'M STUNNED.",surprise
Why is everything always broken? I am so mad. Can't believe it.,anger
HOW DARE THEY CHARGE US FOR THIS GARBAGE? FOR REAL.,anger
I'm seething with rage right now.,anger
I wish I could unsee that. Bro.,disgust
I need to buy some new shoes.,neutral
I'm done with this service forever. For real.,anger
This is genuinely disgusting behavior.,disgust
It's hard to even pretend to be okay anymore. Wow.,sadness
Just crying in my room. This hurts so much. Bro.,sadness
I have two appointments today. Can't believe it.,neutral
Just checking my emails.,neutral
WOW! I DID NOT SEE THAT COMING AT ALL! BRO.?!,surprise
This is a dream come true. For real.,joy
READING A TEXTBOOK FOR CLASS.!!,neutral
I've about had it with these constant delays. Wow.,anger
I'm terrified to check my bank account. Bro....,fear
I'M CRINGING SO HARD RIGHT NOW.,disgust
HERE IS THE LINK TO THE DOCUMENT. SERIOUSLY.,neutral
FEELING INCREDIBLY DEPRESSED AND LONELY TONIGHT. WOW.,sadness
The water is at room temperature.,neutral
I am so furious about this new update!,anger
Didn't expect to run into you here! Bro.,surprise
How dare they charge us for this garbage?,anger
It feels like something is watching me. Just saying.,fear
The report is due by Friday.,neutral
The silence is deafening and lonely. Seriously.,sadness
The train arrived exactly on time. Seriously.,neutral
GENUINELY NAUSEATING CONTENT.,disgust
THIS GRIEF IS UNBEARABLE.,sadness
I'm absolutely speechless. Just saying.,surprise
GENUINELY NAUSEATING CONTENT.,disgust
Absolutely vile and nasty.,disgust
Just finishing up some routine work. For real.,neutral
I'VE ABOUT HAD IT WITH THESE CONSTANT DELAYS....,anger
I wish I could unsee that.,disgust
The bus stops at every corner.,neutral
The report is due by Friday.,neutral
I'm afraid to even speak up about it. Wow.,fear
This is a dream come true. Just saying.,joy
What if everything goes wrong tomorrow? Bro.,fear
Couldn't ask for anything more.,joy
I couldn't be happier with these results.,joy
I couldn't be happier with these results.,joy
I've about had it with these constant delays.,anger
That's the last thing I thought would happen. Bro.,surprise
Couldn't ask for anything more. Just saying.,joy
"Ugh, that's so oily and gross. For real.",disgust
"I could scream, this is so frustrating.",anger
Wow! I did not see that coming at all!,surprise
Nobody understands how much I'm struggling. For real.,sadness
That's the last thing I thought would happen.,surprise
THIS HORROR MOVIE IS GIVING ME NIGHTMARES. CAN'T BELIEVE IT.,fear
Feeling so blessed and joyful right now. Seriously.,joy
You've got to be kidding me! Just saying.,surprise
Life is amazing right now!,joy
I failed again. I'm so disappointed in myself.,sadness
I'M TOTALLY GROSSED OUT BY THIS. WOW.,disgust
Couldn't ask for anything more.,joy
I wish I could unsee that. Just saying.,disgust
I HAVE A REALLY BAD FEELING ABOUT THIS...,fear
The weather is cloudy today....,neutral
"Whoa, that was completely unexpected. For real.",surprise
I am so incredibly happy today!,joy
Here is the link to the document. No way.,neutral
I can't believe my eyes! Honestly.,surprise
I'm listening to a podcast about history.,neutral
"What a wonderful surprise, thank you! No way.",joy
I feel so completely heartbroken and lost.,sadness
That's just foul and inappropriate.,disgust
The world feels so gray and lifeless.,sadness
Why does everything always have to end in tears?,sadness
I'm just a shadow of who I used to be.,sadness
WOW! I DID NOT SEE THAT COMING AT ALL!,surprise
I'm dreading the outcome of this meeting. Bro.,fear
This grief is unbearable. No way.,sadness
THIS IS A DREAM COME TRUE. SERIOUSLY.,joy
This made my day so much better. Can't believe it.,joy
It's hard to find the motivation to get out of bed.,sadness
This news honestly scares me. For real.,fear
I'm afraid to even speak up about it. Honestly.,fear
I can't stop worrying about it.,fear
I'm so excited for the weekend! No way.,joy
The incompetence is staggering.,anger
It's just slimy and weird. Seriously.,disgust
"OH MY GOODNESS, REALLY?! SERIOUSLY.",surprise
Mind blown. Simply incredible.,surprise
Lunch will be served at noon. Bro.,neutral
This is the best news I've heard all year!!!,joy
This made my day so much better. Seriously.,joy
"My heart is racing, I'm so nervous.",fear
What a gross thing to say online. For real.,disgust
READING A TEXTBOOK FOR CLASS.,neutral
THIS IS A DREAM COME TRUE. CAN'T BELIEVE IT.,joy
"Oh my goodness, really?!!!",surprise
I walked to the park this morning. For real.,neutral
I've about had it with these constant delays.,anger
THE INCOMPETENCE IS STAGGERING.,anger
The cat is sleeping on the sofa.,neutral
I can't believe my eyes! Wow.,surprise
The world feels so gray and lifeless.,sadness
Simply wonderful and delightful. Seriously.,joy
I bought some milk from the store....,neutral
That's the last thing I thought would happen.,surprise
IT FEELS LIKE SOMETHING IS WATCHING ME.,fear
I am so furious about this new update!,anger
The sheer lack of hygiene is disturbing. Bro.,disgust
It feels like something is watching me.,fear
I wish I could unsee that. Honestly.,disgust
THIS HORROR MOVIE IS GIVING ME NIGHTMARES. NO WAY....,fear
Feeling so blessed and joyful right now.,joy
This horror movie is giving me nightmares. Bro.,fear
I'm listening to a podcast about history.,neutral
"Oh my goodness, really?!",surprise
I wish I could unsee that....,disgust
WHY IS EVERYTHING ALWAYS BROKEN? I AM SO MAD. NO WAY.,anger
I HAVE TWO APPOINTMENTS TODAY. BRO.,neutral
WHAT?! THAT IS CRAZY!,surprise
This is genuinely disgusting behavior.,disgust
This is the worst customer service I have ever experienced.,anger
This makes my blood boil.,anger
I feel so completely heartbroken and lost.?!,sadness
I will go to sleep at 10 PM.,neutral
WHY IS EVERYTHING ALWAYS BROKEN? I AM SO MAD. HONESTLY.,anger
STOP IGNORING THE COMMUNITY'S COMPLAINTS!,anger
This is the best news I've heard all year!!! No way.,joy
This makes my blood boil. Honestly.,anger
The bus stops at every corner.,neutral
The cat is sleeping on the sofa.,neutral
Makes me want to wash my eyes out. Wow.,disgust
This grief is unbearable. Wow.,sadness
The uncertainty is paralyzing.,fear
The sheer lack of hygiene is disturbing. Honestly.,disgust
What?! That is crazy! For real.,surprise
I keep reliving the same painful memories. For real.,sadness
Nobody understands how much I'm struggling.,sadness
THIS IS A BLUE CUP ON THE TABLE. HONESTLY.,neutral
I FEEL SO VULNERABLE AND UNSAFE.,fear
It's hard to find the motivation to get out of bed.,sadness
Couldn't ask for anything more.,joy
I'm listening to a podcast about history. Wow.?!,neutral
I'm jumpy and on edge all day. Seriously.!!,fear
It's just slimy and weird. Just saying.,disgust
The train arrived exactly on time. No way.,neutral
THIS IS THE WORST CUSTOMER SERVICE I HAVE EVER EXPERIENCED.,anger
HERE IS THE LINK TO THE DOCUMENT.,neutral
I MISS THEM SO MUCH IT HURTS.,sadness
I am so furious about this new update! No way.,anger
I FEEL SO COMPLETELY HEARTBROKEN AND LOST. WOW.,sadness
"I could scream, this is so frustrating.",anger
I miss them so much it hurts. Seriously....,sadness
That is just plain wrong on so many levels.,disgust
I WILL GO TO SLEEP AT 10 PM.,neutral
The weather is cloudy today.,neutral
That is just plain wrong on so many levels. No way.?!,disgust
I MISS THEM SO MUCH IT HURTS. FOR REAL.,sadness
The thought of losing this terrifies me.,fear
This is the worst customer service I have ever experienced.,anger
What if everything goes wrong tomorrow?,fear
"I'm shaking, that was a close call. Just saying.",fear
I'm totally grossed out by this. Wow....,disgust
I'm cringing so hard right now. For real.,disgust
Stop ignoring the community's complaints! No way.,anger
Mind blown. Simply incredible.,surprise
This horror movie is giving me nightmares.,fear
What if everything goes wrong tomorrow? For real.!!,fear
So worried and anxious right now. Can't believe it.,fear
I'm seething with rage right now. No way.?!,anger
"Total plot twist, I'm stunned. For real.",surprise
I'm absolutely speechless.,surprise
Astonishing turn of events! Just saying.?!,surprise
I'm so excited for the weekend! No way.,joy
The world feels so gray and lifeless. No way.,sadness
The cat is sleeping on the sofa. For real.,neutral
I'm on cloud nine!,joy
I'M JUST TIRED OF FEELING THIS WAY.,sadness
I can't believe my eyes!,surprise
Wow! I did not see that coming at all! For real.,surprise
What a bolt from the blue! For real.,surprise
The bus stops at every corner. Just saying.,neutral
I feel so vulnerable and unsafe. For real.,fear
"I'M PANICKING, I DON'T KNOW WHAT TO DO.",fear
I'm so excited for the weekend! Just saying.,joy
I'm dreading the outcome of this meeting.,fear
SUCH TOXIC AND SICKENING PEOPLE.!!,disgust
I'm afraid to even speak up about it. Wow.,fear
EVERYTHING I LOVE SEEMS TO SLIP AWAY.,sadness
The bus stops at every corner. Honestly.!!,neutral
Absolutely overjoyed and smiling from ear to ear. No way.,joy
I feel like a burden to everyone around me. Can't believe it.,sadness
This made my day so much better. Seriously.,joy
THE WORLD FEELS SO GRAY AND LIFELESS. SERIOUSLY.,sadness
Give me a refund right now! For real.,anger
Reading a textbook for class. Can't believe it.,neutral
"UGH, THAT'S SO OILY AND GROSS.",disgust
"I'm panicking, I don't know what to do.",fear
I've about had it with these constant delays.,anger
"WHAT A WONDERFUL SURPRISE, THANK YOU! JUST SAYING.",joy
I can't believe my eyes!,surprise
Just finishing up some routine work. Seriously.,neutral
"Please help, I'm genuinely scared. Just saying.",fear
The bus stops at every corner. Wow.,neutral
I WALKED TO THE PARK THIS MORNING. SERIOUSLY.,neutral
Couldn't ask for anything more. For real.,joy
I've about had it with these constant delays.,anger
I'M SO EXCITED FOR THE WEEKEND! JUST SAYING.,joy
Lunch will be served at noon. Wow.,neutral
This is pure bliss.,joy
What a bolt from the blue!?!,surprise
IT'S LIKE THEY'RE TRYING TO MAKE US MAD.,anger
Tears of joy streaming down my face! Can't believe it.,joy
I am extremely disappointed and angry.,anger
WHY IS EVERYTHING ALWAYS BROKEN? I AM SO MAD.,anger
I am typing on my keyboard. Wow.,neutral
JUST CRYING IN MY ROOM. THIS HURTS SO MUCH. CAN'T BELIEVE IT.,sadness
Can't believe they would do something so stupid. No way.!!,anger
It's hard to find the motivation to get out of bed. Bro.,sadness
The world feels so gray and lifeless. Bro.,sadness
This horror movie is giving me nightmares.,fear
I've about had it with these constant delays.,anger
I keep reliving the same painful memories. Seriously.,sadness
The meeting is scheduled for tomorrow. Bro.,neutral
What a gross thing to say online. Seriously.,disgust
ABSOLUTELY RIDICULOUS BEHAVIOR FROM THIS COMPANY.,anger
What a bolt from the blue! No way.,surprise
The report is due by Friday. Wow.,neutral
What?! That is crazy! Bro.,surprise
Such toxic and sickening people.,disgust
"Wait, is this actually happening?",surprise
The water is at room temperature. No way.,neutral
Reading a textbook for class.,neutral
Stop ignoring the community's complaints!,anger
THAT IS JUST PLAIN WRONG ON SO MANY LEVELS. WOW.,disgust
The train arrived exactly on time. Just saying.,neutral
"Whoa, that was completely unexpected.",surprise
I am extremely disappointed and angry. Bro.,anger
"I'm shaking, that was a close call.",fear
I am extremely disappointed and angry.,anger
I was NOT expecting that response.,surprise
THE FUTURE LOOKS SO DARK AND THREATENING.,fear
THE BUS STOPS AT EVERY CORNER.,neutral
"Ugh, that's so oily and gross.",disgust
THE WEATHER IS CLOUDY TODAY.,neutral
"Oh my goodness, really?!",surprise
I AM EXTREMELY DISAPPOINTED AND ANGRY.,anger
LOVING EVERY SECOND OF THIS BEAUTIFUL MORNING.,joy
Mind blown. Simply incredible. For real.!!,surprise
That smells terrible. Honestly.,disgust
The world feels so gray and lifeless. Can't believe it.,sadness
THIS IS AN INSULT TO THE USERS.!!,anger
Wow! I did not see that coming at all!!!!,surprise
I hate it when people don't listen. Honestly.,anger
"Wait, is this actually happening? Honestly.",surprise
I'm just tired of feeling this way.,sadness
"Ugh, that's so oily and gross. For real.",disgust
"I'm shaking, that was a close call.",fear
This is pure bliss. For real.,joy
THIS IS THE WORST CUSTOMER SERVICE I HAVE EVER EXPERIENCED.,anger
I can't stop worrying about it. Just saying.,fear
This is a blue cup on the table. Wow.,neutral
Heart full of happiness and gratitude.,joy
Heart full of happiness and gratitude. No way.,joy
Why does everything always have to end in tears? For real.,sadness
I can't believe people find this appealing.!!!,disgust
I'M JUST TIRED OF FEELING THIS WAY.,sadness
"TOTAL PLOT TWIST, I'M STUNNED. HONESTLY.!!",surprise
ABSOLUTELY VILE AND NASTY.!!,disgust
I'm jumpy and on edge all day.,fear
THE REPORT IS DUE BY FRIDAY.,neutral
This makes my blood boil. Can't believe it.,anger
This news honestly scares me. Wow.,fear
Astonishing turn of events! Seriously.,surprise
"Ugh, that's so oily and gross. Can't believe it.",disgust
Absolutely vile and nasty. Can't believe it.,disgust
I'm totally grossed out by this....,disgust
I can't stop worrying about it. For real.,fear
The train arrived exactly on time.,neutral
Just crying in my room. This hurts so much. Just saying....,sadness
Loving every second of this beautiful morning. Bro.,joy
I'm afraid to even speak up about it. No way.,fear
I MISS THEM SO MUCH IT HURTS.,sadness
My jaw just dropped.,surprise
"Total plot twist, I'm stunned. Bro.",surprise
HEART FULL OF HAPPINESS AND GRATITUDE. FOR REAL.,joy
The future looks so dark and threatening. Seriously.,fear
This is pure bliss.,joy
It's hard to find the motivation to get out of bed. Seriously.,sadness
I'M TERRIFIED TO CHECK MY BANK ACCOUNT. WOW.,fear
I'm seething with rage right now.,anger
I'm terrified of what might happen next.,fear
I COULDN'T BE HAPPIER WITH THESE RESULTS.,joy
Wow! I did not see that coming at all! Wow.,surprise
My jaw just dropped. Just saying.,surprise
"SUDDENLY, EVERYTHING CHANGED. FOR REAL.",surprise
The weather is cloudy today. Can't believe it.,neutral
The water is at room temperature. No way.,neutral
I was NOT expecting that response. Honestly.,surprise
Just checking my emails. Honestly.,neutral
THAT IS JUST PLAIN WRONG ON SO MANY LEVELS.,disgust
THE MEETING IS SCHEDULED FOR TOMORROW.,neutral
THE WORLD FEELS SO GRAY AND LIFELESS.,sadness
TEARS OF JOY STREAMING DOWN MY FACE!,joy
Nobody understands how much I'm struggling. Bro.,sadness
Wow! I did not see that coming at all! Seriously.?!,surprise
"I'm shaking, that was a close call. No way.",fear
You've got to be kidding me!,surprise
The future looks so dark and threatening.,fear
The uncertainty is paralyzing. Just saying.,fear
A tragic ending to a beautiful story. No way.,sadness
WHY DOES EVERYTHING ALWAYS HAVE TO END IN TEARS? JUST SAYING.,sadness
I'M TOTALLY GROSSED OUT BY THIS. JUST SAYING.,disgust
I am typing on my keyboard. No way....,neutral
I'm dreading the outcome of this meeting.,fear
I'm terrified to check my bank account. Bro.,fear
I hate it when people don't listen. Can't believe it.,anger
I WALKED TO THE PARK THIS MORNING. WOW.,neutral
The sheer lack of hygiene is disturbing. Just saying.,disgust
Stop ignoring the community's complaints!,anger
I AM TYPING ON MY KEYBOARD.?!,neutral
I FEEL PHYSICALLY SICK LOOKING AT THIS.,disgust
I have two appointments today.,neutral
"WAIT, IS THIS ACTUALLY HAPPENING? CAN'T BELIEVE IT.",surprise
That's just foul and inappropriate.!!!,disgust
SO WORRIED AND ANXIOUS RIGHT NOW. SERIOUSLY.,fear
I'm listening to a podcast about history. Seriously.,neutral
I'm afraid to even speak up about it. Honestly.,fear
That smells terrible. Bro.,disgust
LUNCH WILL BE SERVED AT NOON. CAN'T BELIEVE IT.,neutral
THE FUTURE LOOKS SO DARK AND THREATENING.,fear
I'M JUST A SHADOW OF WHO I USED TO BE.,sadness
THE MEETING IS SCHEDULED FOR TOMORROW. CAN'T BELIEVE IT....,neutral
Reading a textbook for class. Bro.,neutral
THIS IS A BLUE CUP ON THE TABLE.,neutral
I'm in complete shock right now. No way.,surprise
So worried and anxious right now. Wow.?!,fear
MY JAW JUST DROPPED.,surprise
Makes me want to wash my eyes out. Just saying.,disgust
I miss them so much it hurts. Honestly.,sadness
I FAILED AGAIN. I'M SO DISAPPOINTED IN MYSELF.,sadness
Loving every second of this beautiful morning.,joy
I'M DONE WITH THIS SERVICE FOREVER. CAN'T BELIEVE IT.,anger
Absolutely overjoyed and smiling from ear to ear. No way.,joy
EVERYTHING IS FINALLY COMING TOGETHER PERFECTLY.!!!,joy
I'M ABSOLUTELY SPEECHLESS. BRO.,surprise
I walked to the park this morning. No way.,neutral
Here is the link to the document. Wow.,neutral
I FEEL LIKE A BURDEN TO EVERYONE AROUND ME. FOR REAL.,sadness
STOP IGNORING THE COMMUNITY'S COMPLAINTS! SERIOUSLY.,anger
"What a wonderful surprise, thank you! Just saying.",joy
What if everything goes wrong tomorrow? No way.,fear
I need to buy some new shoes.,neutral
I'm terrified of what might happen next. Wow.,fear
"Whoa, that was completely unexpected.",surprise
I need to buy some new shoes. For real.!!!,neutral
WHAT A BOLT FROM THE BLUE!,surprise
Everything just feels so empty. Just saying.?!,sadness
You've got to be kidding me! Seriously.,surprise
This made my day so much better. No way.,joy
I'M CRINGING SO HARD RIGHT NOW....,disgust
"My heart is racing, I'm so nervous. For real.",fear
I will go to sleep at 10 PM.,neutral
That's just foul and inappropriate. For real.,disgust
Why does everything always have to end in tears?,sadness
Astonishing turn of events!,surprise
I'm afraid to even speak up about it. Bro.,fear
That is just plain wrong on so many levels.,disgust
I feel so lucky to have such great friends. No way.,joy
I miss them so much it hurts. No way.,sadness
THE SILENCE IS DEAFENING AND LONELY.,sadness
Why is everything always broken? I am so mad. For real.,anger
I wish I could unsee that. Honestly.,disgust
I WILL GO TO SLEEP AT 10 PM. NO WAY.?!,neutral
Couldn't ask for anything more.,joy
Stop ignoring the community's complaints!,anger
The weather is cloudy today.!!,neutral
I keep reliving the same painful memories. Honestly.,sadness
The incompetence is staggering....,anger
"Waste of time and money, I'm livid. Just saying.",anger
Feeling incredibly depressed and lonely tonight. Honestly.,sadness
Lunch will be served at noon. Wow.,neutral
Everything I love seems to slip away. Wow.,sadness
I bought some milk from the store.,neutral
Absolutely ridiculous behavior from this company. No way.,anger
I keep reliving the same painful memories. Just saying.,sadness
What?! That is crazy! Wow.,surprise
This is pure bliss. Just saying.,joy
It's just slimy and weird. For real.,disgust
Stop ignoring the community's complaints! Wow.,anger
Wow! I did not see that coming at all!,surprise
This is pure bliss.,joy
It's hard to find the motivation to get out of bed.,sadness
Why does everything always have to end in tears? No way.,sadness
WHY DOES EVERYTHING ALWAYS HAVE TO END IN TEARS? HONESTLY.,sadness
I am extremely disappointed and angry. No way.,anger
I'M DONE WITH THIS SERVICE FOREVER. FOR REAL.,anger
I miss them so much it hurts.,sadness
"Yay, we finally did it! So proud of the team.",joy
"Whoa, that was completely unexpected. Honestly.",surprise
THAT IS JUST PLAIN WRONG ON SO MANY LEVELS.,disgust
Can't believe they would do something so stupid. Can't believe it.,anger
I'm listening to a podcast about history. Wow.,neutral
Didn't expect to run into you here! Wow.,surprise
A tragic ending to a beautiful story.,sadness
"Please help, I'm genuinely scared. Can't believe it.",fear
I'm afraid to even speak up about it. Honestly.,fear
I hate it when people don't listen.,anger
Astonishing turn of events!,surprise
Reading a textbook for class. Seriously.,neutral
I have two appointments today. Bro.,neutral
I feel like a burden to everyone around me.,sadness
